1. Mėnesinė įmoka: 365.06, Palūkanos: 60.00, Kreditas: 305.06, Paskolos likutis: 12000.00
2. Mėnesinė įmoka: 365.06, Palūkanos: 58.47, Kreditas: 306.59, Paskolos likutis: 11694.94
3. Mėnesinė įmoka: 365.06, Palūkanos: 56.94, Kreditas: 308.12, Paskolos likutis: 11388.35
4. Mėnesinė įmoka: 365.06, Palūkanos: 55.40, Kreditas: 309.66, Paskolos likutis: 11080.23
5. Mėnesinė įmoka: 365.06, Palūkanos: 53.85, Kreditas: 311.21, Paskolos likutis: 10770.56
6. Mėnesinė įmoka: 365.06, Palūkanos: 52.30, Kreditas: 312.77, Paskolos likutis: 10459.35
7. Mėnesinė įmoka: 365.06, Palūkanos: 50.73, Kreditas: 314.33, Paskolos likutis: 10146.59
8. Mėnesinė įmoka: 365.06, Palūkanos: 49.16, Kreditas: 315.90, Paskolos likutis: 9832.26
9. Mėnesinė įmoka: 365.06, Palūkanos: 47.58, Kreditas: 317.48, Paskolos likutis: 9516.36
10. Mėnesinė įmoka: 365.06, Palūkanos: 45.99, Kreditas: 319.07, Paskolos likutis: 9198.87
11. Mėnesinė įmoka: 365.06, Palūkanos: 44.40, Kreditas: 320.66, Paskolos likutis: 8879.81
12. Mėnesinė įmoka: 365.06, Palūkanos: 42.80, Kreditas: 322.27, Paskolos likutis: 8559.14
13. Mėnesinė įmoka: 365.06, Palūkanos: 41.18, Kreditas: 323.88, Paskolos likutis: 8236.87
14. Mėnesinė įmoka: 365.06, Palūkanos: 39.56, Kreditas: 325.50, Paskolos likutis: 7912.99
15. Mėnesinė įmoka: 365.06, Palūkanos: 37.94, Kreditas: 327.13, Paskolos likutis: 7587.50
16. Mėnesinė įmoka: 365.06, Palūkanos: 36.30, Kreditas: 328.76, Paskolos likutis: 7260.37
17. Mėnesinė įmoka: 365.06, Palūkanos: 34.66, Kreditas: 330.41, Paskolos likutis: 6931.61
18. Mėnesinė įmoka: 365.06, Palūkanos: 33.01, Kreditas: 332.06, Paskolos likutis: 6601.20
19. Mėnesinė įmoka: 365.06, Palūkanos: 31.35, Kreditas: 333.72, Paskolos likutis: 6269.15
20. Mėnesinė įmoka: 365.06, Palūkanos: 29.68, Kreditas: 335.39, Paskolos likutis: 5935.43
21. Mėnesinė įmoka: 365.06, Palūkanos: 28.00, Kreditas: 337.06, Paskolos likutis: 5600.04
22. Mėnesinė įmoka: 365.06, Palūkanos: 26.31, Kreditas: 338.75, Paskolos likutis: 5262.98
23. Mėnesinė įmoka: 365.06, Palūkanos: 24.62, Kreditas: 340.44, Paskolos likutis: 4924.23
24. Mėnesinė įmoka: 365.06, Palūkanos: 22.92, Kreditas: 342.14, Paskolos likutis: 4583.79
25. Mėnesinė įmoka: 365.06, Palūkanos: 21.21, Kreditas: 343.86, Paskolos likutis: 4241.65
26. Mėnesinė įmoka: 365.06, Palūkanos: 19.49, Kreditas: 345.57, Paskolos likutis: 3897.79
27. Mėnesinė įmoka: 365.06, Palūkanos: 17.76, Kreditas: 347.30, Paskolos likutis: 3552.22
28. Mėnesinė įmoka: 365.06, Palūkanos: 16.02, Kreditas: 349.04, Paskolos likutis: 3204.91
29. Mėnesinė įmoka: 365.06, Palūkanos: 14.28, Kreditas: 350.78, Paskolos likutis: 2855.87
30. Mėnesinė įmoka: 365.06, Palūkanos: 12.53, Kreditas: 352.54, Paskolos likutis: 2505.09
31. Mėnesinė įmoka: 365.06, Palūkanos: 10.76, Kreditas: 354.30, Paskolos likutis: 2152.55
32. Mėnesinė įmoka: 365.06, Palūkanos: 8.99, Kreditas: 356.07, Paskolos likutis: 1798.25
33. Mėnesinė įmoka: 365.06, Palūkanos: 7.21, Kreditas: 357.85, Paskolos likutis: 1442.18
34. Mėnesinė įmoka: 365.06, Palūkanos: 5.42, Kreditas: 359.64, Paskolos likutis: 1084.33
35. Mėnesinė įmoka: 365.06, Palūkanos: 3.62, Kreditas: 361.44, Paskolos likutis: 724.69
36. Mėnesinė įmoka: 365.06, Palūkanos: 1.82, Kreditas: 363.25, Paskolos likutis: 363.25
